fecha,tmed,prec,tmin,tmax,sol
13-02-2023,"9,70","0,00","4,40","15,00","4,00"
14-02-2023,"9,30","0,00","4,90","13,70","0,50"
15-02-2023,"11,80","0,00","7,50","16,10","2,10"
16-02-2023,"11,60","0,00","7,30","15,90","8,20"
17-02-2023,"11,90","0,00","5,60","18,20","9,60"
18-02-2023,"11,40","0,00","5,80","17,10","2,80"
19-02-2023,"12,50","0,00","6,20","18,80","8,20"
20-02-2023,"12,60","0,00","6,60","18,50","8,40"
22-02-2023,"11,90","0,00","7,30","16,50","8,50"
23-02-2023,"12,10","0,00","8,40","15,80","2,40"
24-02-2023,"10,20","0,00","5,90","14,40","7,50"
25-02-2023,"11,40","0,00","5,30","17,40","9,00"
26-02-2023,"11,20","0,00","6,00","16,50","8,60"
28-02-2023,"10,90","0,00","4,00","17,80","9,60"
01-03-2023,"8,60","0,00","4,70","12,60","8,20"
02-03-2023,"8,60","0,00","4,00","13,20","8,90"
03-03-2023,"10,60","0,00","5,80","15,50","7,50"
04-03-2023,"9,60","0,00","4,80","14,50","10,20"
06-03-2023,"15,10","0,00","9,50","20,70","10,00"
07-03-2023,"17,60","0,00","12,60","22,50","8,50"
08-03-2023,"20,70","0,00","15,80","25,60","6,90"
09-03-2023,"22,20","0,00","18,00","26,40","3,80"
10-03-2023,"21,80","0,00","16,50","27,20","10,50"
11-03-2023,"22,10","0,00","17,20","27,00","6,20"
12-03-2023,"22,90","0,00","16,60","29,20","10,40"
13-03-2023,"21,40","0,00","13,30","29,50","10,50"
14-03-2023,"20,20","0,00","14,20","26,20","10,40"
15-03-2023,"16,00","0,00","10,80","21,10","10,80"
16-03-2023,"13,70","0,00","9,40","18,00","10,50"
17-03-2023,"14,00","0,00","10,30","17,80","7,20"
18-03-2023,"18,60","0,00","11,60","25,50","5,00"
19-03-2023,"14,90","0,00","10,60","19,20","10,50"
20-03-2023,"15,60","0,00","10,50","20,80","10,70"
21-03-2023,"13,90","0,00","9,20","18,60","10,60"
22-03-2023,"13,50","0,00","8,60","18,40","10,80"
23-03-2023,"15,20","0,00","10,00","20,50","11,00"
24-03-2023,"19,80","0,00","11,80","27,80","5,20"
25-03-2023,"17,60","0,00","12,80","22,50","11,00"
26-03-2023,"21,80","0,00","13,40","30,10","11,50"
27-03-2023,"19,40","0,00","13,60","25,20","10,70"
28-03-2023,"14,20","0,00","9,40","19,00","11,20"
29-03-2023,"15,20","0,00","10,20","20,20","11,20"
30-03-2023,"21,10","0,00","11,00","31,20","6,60"
31-03-2023,"22,40","0,00","15,80","29,00","5,00"
01-04-2023,"19,40","0,00","16,00","22,80","7,50"
02-04-2023,"18,80","0,00","12,80","24,80","11,80"
03-04-2023,"15,80","0,00","11,20","20,40","11,50"
04-04-2023,"13,80","0,00","8,70","19,00","11,90"
05-04-2023,"14,90","0,00","10,00","19,80","11,50"
06-04-2023,"14,00","0,00","9,40","18,50","11,40"
07-04-2023,"14,60","0,00","9,50","19,80","11,60"
08-04-2023,"14,50","0,00","9,40","19,60","11,50"
09-04-2023,"15,90","0,00","12,20","19,60","10,90"
10-04-2023,"16,00","0,00","11,80","20,20","10,70"
11-04-2023,"17,20","0,00","12,80","21,70","9,60"
12-04-2023,"22,20","0,00","12,80","31,50","10,00"
13-04-2023,"18,40","0,00","14,00","22,70","10,80"
14-04-2023,"20,00","0,00","12,00","27,90","10,50"
15-04-2023,"21,40","0,00","13,80","29,00","12,00"
16-04-2023,"16,70","0,00","12,90","20,50","12,20"
17-04-2023,"15,00","0,00","9,80","20,30","12,20"
18-04-2023,"15,40","0,00","11,20","19,70","9,00"
19-04-2023,"15,90","0,00","11,60","20,20","9,20"
20-04-2023,"17,40","0,00","11,40","23,50","11,00"
21-04-2023,"17,70","0,00","13,80","21,60","11,40"
23-04-2023,"18,10","0,00","13,00","23,20","12,40"
24-04-2023,"19,00","0,00","14,10","24,00","11,50"
25-04-2023,"21,60","0,00","15,20","28,00","11,00"
26-04-2023,"19,40","0,00","16,30","22,50","11,80"
27-04-2023,"18,60","0,00","15,20","22,00","8,40"
30-04-2023,"21,40","0,00","16,10","26,60","7,60"
01-05-2023,"20,30","0,00","16,80","23,80","12,20"
02-05-2023,"18,80","0,00","14,30","23,20","11,40"
03-05-2023,"19,20","0,00","14,00","24,50","8,50"
04-05-2023,"18,60","0,00","14,60","22,70","10,50"
05-05-2023,"19,70","0,00","16,10","23,30","12,20"
07-05-2023,"20,40","0,00","17,00","23,80","4,40"
08-05-2023,"21,20","0,00","16,80","25,60","10,00"
15-05-2023,"18,80","0,00","13,60","24,00","9,00"
